order_id,order_date,status,item_id,sku,qty_ordered,price,value,discount_amount,total,category,payment_method,bi_st,cust_id,year,month,ref_num,Name Prefix,First Name,Middle Initial,Last Name,Gender,age,full_name,E Mail,Customer Since,SSN,Phone No.,Place Name,County,City,State,Zip,Region,User Name,Discount_Percent
100444942,2021-02-14,order_refunded,729583,MATSAM59DB757FB47A2,2,7031.3,7031.3,0,7031.3,Mobiles & Tablets,cod,Valid,6702,2021,Feb-2021,205860,Ms.,Skye,B,Roach,F,54,"Roach, Skye",skye.roach@outlook.com,12/8/1999,207-84-0611,225-428-0080,Lake Charles,Calcasieu,Lake Charles,LA,70629,South,sbroach,0
100446028,2021-02-19,complete,731809,MATWOR5A1FB2BAB61E5,1,161.5,0,0,0,Mobiles & Tablets,cod,Net,6702,2021,Feb-2021,205860,Ms.,Skye,B,Roach,F,54,"Roach, Skye",skye.roach@outlook.com,12/8/1999,207-84-0611,225-428-0080,Lake Charles,Calcasieu,Lake Charles,LA,70629,South,sbroach,6.191950464
100446227,2021-02-20,canceled,732120,MATSAM59DB757FB47A2,2,7031.3,7031.3,0,7031.3,Mobiles & Tablets,cod,Gross,6702,2021,Feb-2021,205860,Ms.,Skye,B,Roach,F,54,"Roach, Skye",skye.roach@outlook.com,12/8/1999,207-84-0611,225-428-0080,Lake Charles,Calcasieu,Lake Charles,LA,70629,South,sbroach,0
100447285,2021-02-26,canceled,733937,COMDEL59F174CF03983,2,5729.2,5729.2,0,5729.2,Computing,cod,Gross,6702,2021,Feb-2021,205860,Ms.,Skye,B,Roach,F,54,"Roach, Skye",skye.roach@outlook.com,12/8/1999,207-84-0611,225-428-0080,Lake Charles,Calcasieu,Lake Charles,LA,70629,South,sbroach,0
100447668,2021-02-28,refund,734566,COMKIN5A6829510A62A,2,249.9,249.9,0,249.9,Computing,cod,Valid,6702,2021,Feb-2021,205860,Ms.,Skye,B,Roach,F,54,"Roach, Skye",skye.roach@outlook.com,12/8/1999,207-84-0611,225-428-0080,Lake Charles,Calcasieu,Lake Charles,LA,70629,South,sbroach,0
100452228,2021-03-17,complete,743471,WOFJUN5A7B475EA6E40,2,239,239,0,239,Women's Fashion,cod,Net,6702,2021,Mar-2021,205860,Ms.,Skye,B,Roach,F,54,"Roach, Skye",skye.roach@outlook.com,12/8/1999,207-84-0611,225-428-0080,Lake Charles,Calcasieu,Lake Charles,LA,70629,South,sbroach,0
100452983,2021-03-20,order_refunded,745347,MEFROM5A604FABC956F,2,2184,2184,0,2184,Men's Fashion,cod,Valid,6702,2021,Mar-2021,205860,Ms.,Skye,B,Roach,F,54,"Roach, Skye",skye.roach@outlook.com,12/8/1999,207-84-0611,225-428-0080,Lake Charles,Calcasieu,Lake Charles,LA,70629,South,sbroach,0
100460806,2021-03-25,order_refunded,756130,MATSAM5A7D8FDF57DC8,2,2677,2677,0,2677,Mobiles & Tablets,cod,Valid,6702,2021,Mar-2021,205860,Ms.,Skye,B,Roach,F,54,"Roach, Skye",skye.roach@outlook.com,12/8/1999,207-84-0611,225-428-0080,Lake Charles,Calcasieu,Lake Charles,LA,70629,South,sbroach,0
100460836,2021-03-25,canceled,756179,MATSAM5A7D8FDF57DC8,1,2677,0,0,0,Mobiles & Tablets,jazzvoucher,Gross,6702,2021,Mar-2021,205860,Ms.,Skye,B,Roach,F,54,"Roach, Skye",skye.roach@outlook.com,12/8/1999,207-84-0611,225-428-0080,Lake Charles,Calcasieu,Lake Charles,LA,70629,South,sbroach,6.163615988
100462510,2021-03-27,canceled,758903,MATSAM5A7D8FDF57DC8,2,2677,2677,0,2677,Mobiles & Tablets,cod,Gross,6702,2021,Mar-2021,205860,Ms.,Skye,B,Roach,F,54,"Roach, Skye",skye.roach@outlook.com,12/8/1999,207-84-0611,225-428-0080,Lake Charles,Calcasieu,Lake Charles,LA,70629,South,sbroach,0
100469229,2021-04-03,canceled,768878,COMADA5A6829591243F,2,1999.9,1999.9,0,1999.9,Computing,jazzwallet,Gross,6702,2021,Apr-2021,205860,Ms.,Skye,B,Roach,F,54,"Roach, Skye",skye.roach@outlook.com,12/8/1999,207-84-0611,225-428-0080,Lake Charles,Calcasieu,Lake Charles,LA,70629,South,sbroach,0
100469234,2021-04-03,order_refunded,768893,COMDEL59F174CF03983,2,5729.2,5729.2,0,5729.2,Computing,cod,Valid,6702,2021,Apr-2021,205860,Ms.,Skye,B,Roach,F,54,"Roach, Skye",skye.roach@outlook.com,12/8/1999,207-84-0611,225-428-0080,Lake Charles,Calcasieu,Lake Charles,LA,70629,South,sbroach,0
100475818,2021-04-14,order_refunded,779138,COMSEA59D5F5B02C292,2,904.2,904.2,0,904.2,Computing,cod,Valid,6702,2021,Apr-2021,205860,Ms.,Skye,B,Roach,F,54,"Roach, Skye",skye.roach@outlook.com,12/8/1999,207-84-0611,225-428-0080,Lake Charles,Calcasieu,Lake Charles,LA,70629,South,sbroach,0
100513893,2021-05-19,canceled,827125,MATWOR5A1FB2DC97C37,2,232.5,232.5,0,232.5,Mobiles & Tablets,cod,Gross,6702,2021,May-2021,205860,Ms.,Skye,B,Roach,F,54,"Roach, Skye",skye.roach@outlook.com,12/8/1999,207-84-0611,225-428-0080,Lake Charles,Calcasieu,Lake Charles,LA,70629,South,sbroach,0
